1,38,76,96,66,12,108,115,14
2,112,52,51,78,65,79,12,23
3,69,102,0,94,15,63,1,83
4,72,47,13,103,63,94,69,27
5,115,61,17,51,75,28,105,72
6,38,11,120,18,18,97,45,69
7,99,108,69,20,113,62,12,98
8,8,10,29,82,74,47,61,61
9,30,88,79,56,46,111,73,70
10,46,120,72,48,9,29,55,91
11,108,116,78,2,111,29,72,115
12,107,86,37,8,103,89,73,119
13,5,46,21,42,48,9,88,66
14,117,93,82,115,72,110,25,20
15,6,29,83,8,104,20,57,27
16,13,61,49,48,96,51,24,75
17,84,18,55,30,9,92,17,67
18,60,120,103,106,104,100,37,0
19,35,27,57,51,85,35,40,88
20,1,69,108,75,104,70,83,64
21,49,41,47,61,20,98,23,83
22,119,5,83,117,15,118,51,13
23,111,94,13,10,38,10,16,64
24,119,30,18,74,115,9,114,65
25,111,113,4,98,34,78,71,29
26,69,95,37,32,22,32,26,39
27,27,76,76,116,20,106,22,68
28,109,36,33,109,20,13,75,55
29,3,81,33,66,56,95,82,41
30,107,74,77,92,26,35,96,32
31,3,19,67,22,60,80,25,81
32,21,27,37,80,34,8,44,42
33,117,55,46,114,32,72,80,119
34,38,24,92,52,59,68,85,111
35,77,75,23,74,34,91,100,51
36,16,57,110,50,73,86,97,33
37,25,118,105,65,80,48,85,108
38,93,41,67,52,89,28,69,57
39,88,40,34,19,50,4,107,113
40,94,111,34,36,114,17,26,13
41,11,29,12,14,10,17,17,26
42,54,79,41,7,12,92,89,67
43,4,72,118,65,116,22,102,3
44,66,67,68,94,20,100,97,51
45,69,67,23,80,118,38,102,60
46,22,51,1,100,79,14,107,13
47,28,62,57,54,84,107,113,5
48,8,28,115,20,115,3,71,53
49,28,19,106,74,11,113,68,87
50,39,34,76,8,85,75,93,67
51,119,120,0,3,20,81,5,13
52,84,97,9,56,97,55,88,70
53,113,59,88,46,6,108,55,37
54,36,83,23,7,95,22,33,65
55,66,7,62,6,101,3,8,59
56,93,24,64,76,98,25,11,52
57,75,11,102,92,62,68,78,85
58,31,32,4,35,57,44,83,88
59,71,80,25,4,52,110,76,48
60,113,37,23,115,92,85,69,31
61,82,53,117,24,49,43,89,40
62,30,80,75,79,108,8,0,96
63,106,77,34,63,9,77,18,28
64,32,50,48,2,89,35,116,20
65,11,94,39,107,50,100,57,100
66,35,117,75,71,79,114,51,37
67,60,64,118,77,82,76,97,74
68,72,95,84,86,0,1,33,120
69,65,79,95,71,92,41,26,96
70,32,29,113,78,64,56,112,27
71,46,99,25,103,35,105,37,75
72,14,36,67,97,32,72,113,12
73,62,112,85,43,68,107,106,76
74,26,66,52,20,33,69,78,98
75,107,84,117,18,51,48,40,94
76,41,33,80,117,107,83,37,116
77,81,26,35,51,60,64,104,41
78,84,5,65,120,6,77,57,6
79,11,10,0,106,82,35,22,105
80,89,21,107,54,46,36,85,55
81,10,79,110,99,95,6,4,120
82,99,113,98,89,35,25,14,82
83,50,58,102,39,80,95,21,67
84,34,24,97,119,57,113,38,116
