1,57,69,111,101,111,71,7,12,99
2,112,2,74,19,1,41,0,53,62
3,48,70,35,90,64,13,111,103,58
4,3,0,90,75,99,58,55,9,17
5,43,20,58,7,103,92,39,16,37
6,39,10,78,40,36,92,113,53,47
7,117,72,57,72,42,79,60,3,37
8,23,102,33,34,50,59,56,11,70
9,22,106,115,54,113,42,72,64,46
10,59,106,35,116,5,70,77,5,65
11,96,77,2,0,34,55,119,102,106
12,86,68,45,29,24,82,48,76,59
13,29,118,53,78,117,49,108,28,85
14,85,78,64,25,109,9,18,70,69
15,58,114,107,26,105,10,63,26,13
16,106,11,51,82,50,85,89,108,9
17,13,91,20,55,59,79,8,73,79
18,29,50,67,52,69,46,82,39,50
19,41,19,50,1,25,6,29,78,97
20,76,54,66,92,62,77,79,12,3
21,24,19,53,84,42,106,53,91,23
22,101,88,12,29,12,82,65,30,50
23,33,105,102,0,111,97,120,53,117
24,45,67,72,78,62,111,80,50,74
25,91,25,48,11,120,73,76,85,25
26,12,59,94,120,59,79,56,28,26
27,1,16,25,120,61,34,98,18,106
28,63,117,93,42,117,36,109,45,36
29,107,54,29,93,53,19,20,83,56
30,69,65,65,61,78,32,31,54,1
31,114,40,24,41,113,46,0,11,115
32,13,39,120,116,60,17,7,29,73
33,16,51,88,120,74,18,17,101,34
34,74,100,25,102,54,63,66,118,114
35,55,56,76,75,102,24,62,69,64
36,62,17,17,4,76,37,27,11,119
37,14,47,33,12,66,53,24,25,38
38,48,97,79,10,11,44,45,1,93
39,25,77,29,78,41,46,27,99,110
40,96,7,88,32,99,50,101,91,75
41,95,115,70,104,42,68,40,13,56
42,108,15,71,10,89,85,61,22,77
43,79,109,81,29,14,96,44,43,82
44,101,44,50,64,72,17,105,84,102
45,16,62,50,117,47,54,90,42,25
46,16,89,60,13,3,39,72,76,61
47,0,1,53,41,119,8,118,16,13
48,1,65,38,48,37,19,37,26,55
49,58,105,35,83,117,82,108,12,68
