1,61,33,28,25,65,34,109,110,12
2,28,97,3,44,9,58,111,52,96
3,83,62,110,5,34,73,83,96,72
4,116,46,39,2,104,4,35,80,42
5,103,70,92,23,27,106,23,52,83
6,94,49,20,34,67,72,51,117,120
7,51,64,98,36,34,84,13,97,109
8,107,19,29,21,99,29,50,108,0
9,25,117,62,54,3,100,84,117,71
10,26,21,120,119,75,103,63,62,0
11,114,40,9,33,57,59,75,104,115
12,104,87,55,96,48,19,115,66,51
13,29,7,74,92,107,11,1,64,103
14,118,74,51,89,38,112,35,100,32
15,101,107,23,56,59,90,65,87,12
16,74,109,97,26,70,114,16,114,27
17,30,111,19,90,111,80,99,48,57
18,21,44,61,66,88,28,59,6,39
19,41,46,5,43,102,47,43,86,66
