1,50,113,76,62,120,37,29,4,81
2,63,17,10,36,25,16,8,19,60
3,84,90,55,14,70,26,19,65,46
4,30,67,25,37,18,44,44,85,10
5,64,68,102,119,58,55,81,75,75
6,101,112,53,100,59,70,30,96,29
7,111,95,116,34,10,55,113,85,13
8,51,24,24,81,43,37,102,41,20
9,6,25,26,60,72,16,54,36,21
10,27,85,11,50,74,80,54,45,65
11,13,99,94,115,73,37,51,34,117
12,70,20,50,117,36,38,27,38,13
13,54,119,39,26,30,83,2,79,41
14,95,107,41,31,38,119,15,117,101
15,91,73,15,6,80,32,98,20,70
16,71,108,101,77,22,81,92,63,56
17,21,47,2,120,102,94,87,51,78
18,101,96,102,96,40,9,44,106,31
19,35,9,83,88,59,32,120,108,28
