1,4,87,14,97,86,2,12,119
2,67,13,58,70,57,59,78,33
3,28,54,71,66,113,114,2,102
4,86,101,12,25,66,15,6,111
5,100,47,51,110,75,67,69,48
6,14,56,106,109,82,61,110,67
7,10,53,64,50,4,19,98,51
8,4,56,62,11,28,0,57,120
9,55,56,53,92,32,50,40,86
10,113,8,26,110,95,84,118,28
11,51,25,118,52,99,3,8,64
12,50,100,4,62,40,96,35,65
13,29,99,62,17,94,67,10,74
14,26,76,68,47,11,119,28,53
15,40,52,116,0,50,13,115,66
16,79,41,47,23,41,29,71,86
17,56,84,15,85,87,18,65,30
18,57,111,33,104,60,91,111,41
19,45,13,43,44,120,78,42,26
20,5,83,95,88,56,47,103,84
21,19,47,51,117,47,33,113,46
22,13,99,50,25,52,101,111,35
23,89,32,116,93,95,35,73,111
24,93,28,20,102,111,51,107,29
25,39,12,86,28,100,88,34,74
26,65,34,107,88,17,97,40,14
27,11,3,16,90,86,5,112,48
28,69,117,94,57,114,18,49,12
29,8,36,46,101,98,73,37,46
30,110,11,117,91,91,7,83,106
31,75,22,91,6,22,69,43,44
32,53,112,93,88,19,42,3,16
33,103,11,71,42,56,22,45,73
34,14,115,57,49,44,29,71,100
35,31,82,30,9,52,106,73,26
36,67,55,32,84,108,6,59,15
37,92,60,63,11,70,48,82,56
38,39,5,37,28,43,8,35,13
39,38,11,9,61,31,82,85,14
40,61,110,13,13,5,111,96,0
41,2,49,5,114,88,37,10,96
42,45,78,100,17,0,111,82,44
43,103,97,46,108,16,63,50,100
44,77,106,23,53,21,67,84,107
45,8,115,67,113,20,49,95,70
46,102,52,104,83,5,59,55,20
47,116,1,3,93,50,7,105,117
48,57,92,29,18,28,109,99,110
49,33,116,34,92,40,40,73,98
50,78,118,16,18,55,103,44,6
51,40,28,79,39,109,51,10,56
52,29,101,77,104,8,44,75,48
53,64,50,57,13,31,82,85,114
54,76,21,117,6,17,56,47,115
55,107,33,39,17,119,23,67,94
56,19,109,98,120,37,1,0,69
57,85,65,89,37,72,28,37,103
58,9,61,18,43,81,96,8,67
59,29,11,77,57,44,97,40,88
60,74,67,20,3,98,6,84,55
61,61,120,36,29,117,29,46,68
62,12,60,110,38,86,35,1,53
63,103,27,46,43,68,107,70,36
64,98,71,73,51,21,69,109,119
65,40,18,4,77,19,85,17,103
66,77,59,100,14,15,93,35,14
67,56,80,15,9,114,78,52,45
68,0,45,99,10,32,104,48,73
69,95,69,51,84,117,75,106,44
70,108,43,67,93,37,51,5,81
71,31,13,29,111,12,110,31,70
72,60,34,78,57,79,117,41,77
73,11,3,115,53,45,79,58,91
74,27,83,70,74,9,31,65,49
75,23,7,44,15,43,29,118,114
76,19,92,8,83,2,115,60,24
77,75,59,97,74,99,35,90,72
78,84,116,14,10,34,58,98,48
79,54,107,1,58,97,53,26,9
80,55,0,105,5,29,29,79,19
81,23,83,120,31,111,45,24,65
82,67,73,18,53,9,41,53,35
83,81,11,120,8,28,28,97,30
84,51,49,52,62,0,93,37,4
